ID;COR;NOME;CASOS_14_DIAS;NIVEL_14_DIAS;CASOS_7_DIAS;NIVEL_7_DIAS
34121515018;0;CAPELA (A);Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515019;0;CARBALLO;Número de novos casos diagnosticados no concello: 22.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515020;0;CARNOTA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515021;0;CARRAL;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515022;0;CEDEIRA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515023;0;CEE;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515024;0;CERCEDA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515025;0;CERDIDO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515027;0;COIROS;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515028;0;CORCUBION;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515029;0;CORISTANCO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515030;0;CORUÑA (A);Número de novos casos diagnosticados no concello: 531.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: 269.;Incidencia acumulada para o concello: >75 e ≤125.
34121515031;0;CULLEREDO;Número de novos casos diagnosticados no concello: 44.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: 16.;Incidencia acumulada para o concello: >25 e ≤75.
34121515032;0;CURTIS;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515033;0;DODRO;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515034;0;DUMBRIA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >125 e ≤250.
34121515035;0;FENE;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515036;0;FERROL;Número de novos casos diagnosticados no concello: 56.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: 35.;Incidencia acumulada para o concello: >25 e ≤75.
34121515037;0;FISTERRA;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515038;0;FRADES;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515039;0;IRIXOA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515040;0;LAXE;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515041;0;LARACHA;Número de novos casos diagnosticados no concello: 24.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515042;0;LOUSAME;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515043;0;MALPICA DE BERGANTIÑOS;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515044;0;MAÑON;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515045;0;MAZARICOS;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515046;0;MELIDE;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515047;0;MESIA;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515048;0;MIÑO;Número de novos casos diagnosticados no concello: 18.;Incidencia acumulada para o concello: >250 e ≤500.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515049;0;MOECHE;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515050;0;MONFERO;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515051;0;MUGARDOS;Número de novos casos diagnosticados no concello: 11.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515052;0;MUXIA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: ≤25.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515053;0;MUROS;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515054;0;NARON;Número de novos casos diagnosticados no concello: 29.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: 19.;Incidencia acumulada para o concello: >25 e ≤75.
34121515055;0;NEDA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515056;0;NEGREIRA;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515057;0;NOIA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: ≤25.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515058;0;OLEIROS;Número de novos casos diagnosticados no concello: 40.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: 17.;Incidencia acumulada para o concello: >25 e ≤75.
34121515059;0;ORDES;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515060;0;OROSO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515061;0;ORTIGUEIRA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515062;0;OUTES;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515064;0;PADERNE;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34121515065;0;PADRON;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515066;0;PINO (O);Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34121515067;0;POBRA DO CARAMIÑAL A;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515068;0;PONTECESO;Número de novos casos diagnosticados no concello: 13.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34121515069;0;PONTEDEUME;Número de novos casos diagnosticados no concello: 12.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515070;0;PONTES DE GARCIA RODRIGUEZ (AS);Número de novos casos diagnosticados no concello: 15.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34121515071;0;PORTO DO SON;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515072;0;RIANXO;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515073;0;RIBEIRA;Número de novos casos diagnosticados no concello: 11.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515074;0;ROIS;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >10 e ≤25.
34121515075;0;SADA;Número de novos casos diagnosticados no concello: 17.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515076;0;SAN SADURNIÑO;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515077;0;SANTA COMBA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515078;0;SANTIAGO DE COMPOSTELA;Número de novos casos diagnosticados no concello: 58.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: 26.;Incidencia acumulada para o concello: >25 e ≤75.
34121515079;0;SANTISO;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515080;0;SOBRADO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >250 e ≤500.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515081;0;SOMOZAS;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515082;0;TEO;Número de novos casos diagnosticados no concello: 16.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515083;0;TOQUES;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34121515084;0;TORDOIA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515085;0;TOURO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34121515086;0;TRAZO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515087;0;VALDOVIÑO;Número de novos casos diagnosticados no concello: 12.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34121515088;0;VAL DO DUBRA;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515089;0;VEDRA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515090;0;VILASANTAR;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34121515091;0;VILARMAIOR;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515092;0;VIMIANZO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515093;0;ZAS;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34121515901;0;CARIÑO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >150 e ≤250.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34121515902;0;OZA-CESURAS;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34122727001;0;ABADIN;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727002;0;ALFOZ;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727003;0;ANTAS DE ULLA;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727004;0;BALEIRA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34122727005;0;BARREIROS;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727006;0;BECERREA;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727007;0;BEGONTE;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727008;0;BOVEDA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >125 e ≤250.
34122727009;0;CARBALLEDO;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727010;0;CASTRO DE REI;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727011;0;CASTROVERDE;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >125 e ≤250.
34122727012;0;CERVANTES;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727013;0;CERVO;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727014;0;CORGO (O);Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727015;0;COSPEITO;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727016;0;CHANTADA;Número de novos casos diagnosticados no concello: 14.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34122727017;0;FOLGOSO DO COUREL;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727018;0;FONSAGRADA (A);Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727019;0;FOZ;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727020;0;FRIOL;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727021;0;XERMADE;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34122727022;0;GUITIRIZ;Número de novos casos diagnosticados no concello: 12.;Incidencia acumulada para o concello: >150 e ≤250.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >75 e ≤125.
34122727023;0;GUNTIN;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34122727024;0;INCIO (O);Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727025;0;XOVE;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727026;0;LANCARA;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727027;0;LOURENZA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >250 e ≤500.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >125 e ≤250.
34122727028;0;LUGO;Número de novos casos diagnosticados no concello: 47.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: 18.;Incidencia acumulada para o concello: >10 e ≤25.
34122727029;0;MEIRA;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >50 e ≤150.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727030;0;MONDOÑEDO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727031;0;MONFORTE DE LEMOS;Número de novos casos diagnosticados no concello: 24.;Incidencia acumulada para o concello: >50 e ≤150.;Número de novos casos diagnosticados no concello: 11.;Incidencia acumulada para o concello: >25 e ≤75.
34122727032;0;MONTERROSO;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤50.;Número de novos casos diagnosticados no concello: entre 1 e 9.;Incidencia acumulada para o concello: >25 e ≤75.
34122727033;0;MURAS;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727034;0;NAVIA DE SUARNA;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727035;0;NEGUEIRA DE MUÑIZ;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727037;0;NOGAIS (AS);Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727038;0;OUROL;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727039;0;OUTEIRO DE REI;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
34122727040;0;PALAS DE REI;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤25.;Sen novos casos diagnosticados no concello.;Incidencia acumulada para o concello: ≤10.
